"Group 1: age (45~55), socio-economic<0",,,,,"Group 2: age (45~55), socio-economic>0",,,,,"Group 3: education (12~16), socio-economic<0",,,,,"Group 4: education (12~16), socio-economic>0",,,,,"Group 5: age (45~55), education (12~16), socio-economic<0",,,,,,,"Group 6: age (45~55), education (12~16), socio-economic>0",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wealth,age,education,socioeconomic,,wealth,age,education,socioeconomic,,wealth,age,education,socioeconomic,,wealth,age,education,socioeconomic,,wealth,age,education,socioeconomic,,,,wealth,age,education,socioeconomic
10000,48,15,-96352,,82000,52,12,7,,10000,48,15,-96352,,59000,65,12,1,,10000,48,15,-96352,,,,82000,52,12,7
162000,50,15,-68685,,285500,55,16,8,,2000,31,13,-80033,,0,43,14,2,,162000,50,15,-68685,,,,285500,55,16,8
264500,48,15,-63169,,35250,47,11,9,,105,29,13,-76704,,200,44,12,2,,264500,48,15,-63169,,,,74000,51,12,25
0,50,13,-61202,,26400,50,10,18,,162000,50,15,-68685,,-2500,44,16,4,,0,50,13,-61202,,,,-55500,46,12,26
57,52,11,-60955,,74000,51,12,25,,-14000,35,12,-67241,,82000,52,12,7,,19100,55,12,-56470,,,,-8000,46,15,40
2000,46,11,-59496,,-55500,46,12,26,,0,24,13,-66039,,285500,55,16,8,,398000,53,12,-56470,,,,258000,51,12,40
14850,54,11,-58626,,-8000,46,15,40,,5000,32,12,-65547,,36500,26,12,10,,9653000,50,16,-55211,,,,20000,48,12,43
-279000,47,11,-58479,,258000,51,12,40,,-26000,33,12,-65468,,-10460,57,12,11,,60000,46,15,-55134,,,,298500,55,14,64
0,53,11,-56470,,20000,48,12,43,,0,29,13,-64279,,2050,26,14,13,,65530,49,16,-53727,,,,100000,53,13,92
19100,55,12,-56470,,0,47,9,60,,264500,48,15,-63169,,-2000,24,14,14,,0,48,12,-53062,,,,-12300,54,16,102
398000,53,12,-56470,,3018,50,10,60,,0,40,12,-62462,,25000,59,12,14,,2055000,48,16,-51966,,,,-28000,45,12,111
2264,50,11,-55780,,298500,55,14,64,,0,36,12,-61557,,4800,30,12,17,,-23500,46,14,-51408,,,,-19820,48,12,129
9653000,50,16,-55211,,95800,50,11,65,,0,50,13,-61202,,1610,23,13,20,,2020,53,12,-48991,,,,9500,46,12,129
60000,46,15,-55134,,100000,53,13,92,,0,30,12,-61202,,124900,70,12,21,,36000,53,12,-48811,,,,6030,45,12,143
65530,49,16,-53727,,65500,54,11,96,,0,34,12,-60435,,15000,28,12,24,,-2000,48,13,-47621,,,,-60000,45,16,151
0,48,12,-53062,,-12300,54,16,102,,20000,33,13,-59173,,74000,51,12,25,,200,52,13,-47292,,,,130200,54,12,152
2055000,48,16,-51966,,-28000,45,12,111,,107000,63,12,-58638,,63000,32,15,25,,79000,53,12,-47030,,,,-31000,47,12,186
