wealth,age,education,socioeconomic
-3197000,44,12,34212
-2699990,89,17,-6776
-2320000,49,14,33249
-2025280,36,12,6458
-1860400,49,14,-1818
-1841000,31,12,11483
-1743000,43,12,31032
-1514990,57,16,39249
-1408000,69,13,77751
-1175450,42,12,-29932
-995000,20,12,-2890
-990023,84,12,-2370
-971999,28,13,-5927
-960000,47,10,59014
-915000,52,14,28167
-898000,31,12,12748
-832500,48,12,11520
-794999,32,14,22393
-738000,48,12,26212
-728000,42,12,62986
-688500,52,16,52934
-676000,32,17,47987
-651292,56,17,101315
-625000,28,16,86458
-615950,30,17,71220
-614000,31,12,22608
-575000,34,17,17890
-557000,65,12,146303
-529500,45,12,111101
-518000,30,12,459561
-515950,60,17,8912
-500000,53,12,-6678
-499500,47,17,35242
-494000,54,16,1374
-489900,47,11,-48991
-488000,37,16,-46558
-485000,43,11,-2925
-481000,35,11,62571
-469000,49,16,2010
-464950,32,17,277215
-455700,55,12,22710
-454200,26,16,167788
-443500,27,17,-13468
-442000,32,17,476681
-441000,55,11,-5852
-434950,34,17,226901
-414400,53,16,-17938
-405000,40,17,192748
-401800,33,17,-7337
-400000,39,17,163193
-396500,29,14,52934
-395300,29,17,92949
-386000,39,17,67608
-385000,37,17,62322
-384000,33,17,106687
-380000,44,16,-19624
-379980,36,17,375832
-368000,28,15,-15751
-366000,35,16,58496
-364750,69,14,8449
-363070,51,12,7386
-362000,49,16,192702
-361000,25,16,1027
-360000,36,17,78561
-359796,70,14,-13496
-356500,35,17,70362
-355450,27,17,32867
-349950,26,14,57364
-344000,24,16,72784
-343000,30,17,12521
-338000,37,14,59467
-336911,37,6,70866
-335000,52,16,48483
-332500,35,12,-1481
-324300,63,16,55372
-322000,43,14,68454
-320000,45,15,92894
-320000,49,16,96528
-319000,28,1,35486
-319000,29,17,65843
-318000,45,15,14014
-312000,43,16,73834
-308269,49,12,20329
-306000,46,12,-1325
-306000,47,13,-19978
-304000,36,17,186458
-303000,28,16,272489
-303000,31,17,-11339
-302451,37,17,9713
-301800,41,17,-542
-299874,46,8,-3785
-299000,21,11,-29328
-298160,38,17,-25751
-297500,25,17,1832
-296300,26,14,-12198
-296000,33,14,-40982
-294500,37,17,72608
-293000,42,17,135032
-291000,31,17,45812
-291000,22,12,2986
-285600,40,16,-173
-281200,43,12,3249
-280100,33,17,38623
-279000,47,11,-58479
-274000,44,6,2529
-273000,31,17,19333
-271000,28,12,-471
-270000,39,17,186
-268000,25,17,12538
-268000,27,16,46252
-265200,31,14,-13985
-265000,54,0,45336
-265000,28,17,42595
-265000,30,17,49001
-264500,25,17,77215
-264000,41,14,109185
-263500,58,17,86432
-260800,38,11,5948
-258000,33,16,38241
-256000,33,16,68178
-251500,67,13,10132
-251000,68,16,35113
-251000,35,17,158090
-250000,38,17,331190
-250000,29,12,-20010
-250000,32,17,39494
-249100,35,17,-2098
-248924,42,8,6263
-247476,48,12,26301
-247400,36,11,58
-247217,33,16,27884
-246450,27,12,16059
-246000,26,16,26902
-246000,43,14,70267
-244300,47,17,70820
-244000,65,17,-10288
-243000,31,16,11049
-242000,63,11,225376
-241000,28,16,169958
-240000,42,16,64973
-239900,40,13,81186
-238000,31,15,-11303
-237000,26,17,120452
-236000,53,14,36949
-235500,27,17,25614
-235000,36,17,-21328
-233000,39,11,-4098
-232500,33,14,15091
-232000,30,17,123927
-230000,31,17,376750
-230000,39,16,220671
-230000,45,12,99049
-229500,55,17,17969
-229300,30,12,48025
-226800,37,12,46585
-225000,44,8,3986
-223800,41,12,-2110
-222996,42,8,-4209
-222540,33,17,107171
-219947,63,17,63125
-219519,43,14,-15973
-218500,37,8,7383
-218200,32,13,-3363
-218000,40,17,18186
-217200,49,12,29731
-216750,61,17,46773
-216000,51,10,51599
-215500,32,17,74396
-213000,53,11,-28786
-213000,34,16,54288
-212000,32,16,101857
-212000,30,12,31485
-210000,28,14,7997
-209500,36,10,33189
-209000,36,17,46602
-208000,26,16,-6039
-206350,46,6,-1178
-204280,40,11,-1064
-203900,37,14,28489
-203850,40,10,-3575
-203500,26,12,16014
-202900,58,16,89190
-202000,41,12,6589
-201000,37,11,-2952
-200500,30,16,144608
-200000,29,12,6522
-200000,37,17,-21099
-200000,35,12,99018
-200000,52,11,-606
-200000,31,12,-15151
