filename,publish_date,abstract
jofi.12830.txt,2020/2/1,"Using unique data on employee stock purchase plans (ESPPs), we examine the influence of networks on investment decisions. Comparing employees within a firm during the same election window with metro area fixed effects, we find that the choices of coworkers in the firm¡®s ESPP exert a signifiant influence on employees¡¯ own decisions to participate and trade. Moreover, we find that the presence of high-information employees magnifies the effects of peer networks. Given participation in an ESPP is value-maximizing, our analysis suggests the potential of networks and targeted investor education to improve financial decision-making. "
jofi.12831.txt,2020/2/1,"Why do firms choose high debt when they anticipate high valuations, and underperform subsequently? We propose a theory of financing cycles where the importance of creditors¡¯ control rights over cash flows (¡¯ ledgeability¡¯  varies with industry liquidity. The market allows firms take on more debt when they anticipate higher future liquidity. However, both high anticipated liquidity and the resulting high debt limit their incentives to enhance pledgeability. This has prolonged adverse effects in a downturn. Because these effects are hard to contract upon, higher anticipated liquidity can also reduce a firm¡®s current access to finance. "
jofi.12834.txt,2020/2/1,"Information and control rights are central aspects of leadership, management, and corporate governance. This paper studies a principal-agent model that features both communication and intervention as alternative means to exert influence. The main result shows that a principal¡®s power to intervene in an agent¡®s decision limits the ability of the principal to effectively communicate her private information. The perverse effect of intervention on communication can harm the principal, especially when the cost of intervention is low or the underlying agency problem is severe. These novel results are applied to managerial leadership, corporate boards, private equity, and shareholder activism. "
jofi.12842.txt,2020/2/1,"Mortgage refinancing activity associated with extraction of home equity contains a strongly countercyclical component consistent with household demand for liquidity. We estimate a structural model of liquidity management featuring countercyclical idiosyncratic labor income uncertainty, long- and short-term mortgages, and realistic borrowing constraints. We empirically evaluate its predictions for households¡¯ choices of leverage, liquid assets, and mortgage refinancing using microlevel data. Taking the observed historical paths of house prices, aggregate income, and interest rates as given, the model accounts for many salient features in the evolution of balance sheets and consumption in the cross-section of households over 2001 to 2012. "
jofi.12843.txt,2020/4/1,"We investigate the relation between tax burdens and mutual fund performance from both a theoretical and an empirical perspective. The theoretical model introduces heterogeneous tax clienteles in an environment with decreasing returns to scale and shows that the equilibrium performance of mutual funds depends on the size of the tax clienteles. Our empirical results show that the performance of U.S. equity mutual funds is related to their tax burdens. We find that tax-effiient funds exhibit not only superior after-tax performance, but also superior before-tax performance due to lower trading costs, favorable style exposures, and better selectivity. "
jofi.12844.txt,2020/2/1,"For years, the Securities and Exchange Commission (SEC) accidentally distributed securities disclosures to some investors before the public. We exploit this setting, which is unique because the delay until public disclosure was exogenous and the private information window was well defined, to study informed trading with a random stopping time. Trading intensity and the pace at which prices incorporate information decrease with the expected delay until public release, but the relation between trading intensity and time elapsed varies with traders¡¯ learning process. Noise trading and relative information advantage play similar roles as in standard microstructure theories assuming a fixed time window. "
jofi.12845.txt,2020/2/1,"This paper studies the dynamic interaction between the net positions of traders and risk premiums in commodity futures markets. Short-term position changes are driven mainly by the liquidity demands of noncommercial traders, while long-term variation is driven primarily by the hedging demands of commercial traders. These two components influence expected futures returns with opposite signs. The gains from providing liquidity by commercials largely offset the premium they pay for obtaining price insurance. "
jofi.12846.txt,2020/2/1,"France¡®s Ordonnance 2006-346 repudiated the notion of possessory ownership in the Napoleonic Code, easing the pledge of physical assets in a country where credit was highly concentrated. A differences-test strategy shows that firms operating newly pledgeable assets signifiantly increased their borrowing following the reform. Small, young, and financially constrained businesses benefitted the most, observing improved credit access and real-side outcomes. Start-ups emerged with higher ¡¯ t-inception¡¯ leverage, located farther from large cities, with more assets-in-place than before. Their exit and bankruptcy rates declined. Spatial analyses show that the reform reached firms in rural areas, reducing credit access inequality across France¡®s countryside. "
jofi.12847.txt,2020/2/1,"We study temporary fiscal stimulus designed to support distressed housing markets by inducing demand from buyers in the private market. Using difference-indifferences and regression kink research designs, we find that the First-Time Homebuyer Credit increased home sales by 490,000 (9.8%), median home prices by $2,400 (1.1%) per standard deviation increase in program exposure, and the transition rate into homeownership by 53%. The policy response did not reverse immediately. Instead, demand comes from several years in the future: induced buyers were three years younger in 2009 than typical first-time buyers. The program¡®s market-stabilizing benefits likely exceeded its direct stimulus effects. "
jofi.12848.txt,2020/4/1,"We present a model of the market for advice in which advisers have conflicts of interest and compete for heterogeneous customers through information provision. The competitive equilibrium features information dispersion and partial disclosure. Although conflicted fees lead to distorted information, they are irrelevant for customers¡¯ welfare: banning conflicted fees improves only the information quality, not customers¡¯ welfare. Instead, financial literacy education for the least informed customers can improve all customers¡¯ welfare because of a spillover effect. Furthermore, customers who trade through advisers realize lower average returns, which rationalizes empirical findings. "
jofi.12849.txt,2020/4/1,"This paper investigates the pricing of bank loans relative to capital market debt. The analysis uses a novel sample of loans matched with bond spreads from the same firm on the same date. After accounting for seniority, lenders earn a large premium relative to the bond-implied credit spread. In a sample of secured term loans to noninvestmentgrade firms, the average premium is 140 to 170 bps or about half of the all-in-drawn spread. This is the first direct evidence of firms¡¯ willingness to pay for bank credit and raises questions about the nature of competition in the loan market. "
jofi.12851.txt,2020/2/1,"We test whether the display of information causally affects investor behavior in a highstakes trading environment. Using investor-level brokerage data from China and a natural experiment, we estimate the impact of a shock that increased the salience of a stock¡®s purchase price but did not change the investor¡®s information set. We employ a difference-in-differences approach and find that the salience shock causally increased the disposition effect by 17%. We use microdata to document substantial heterogeneity across investors in the treatment effect. A previously documented trading pattern, the ¡¯ ank effect,¡¯ explains heterogeneity in the change in the disposition effect. "
jofi.12852.txt,2020/2/1,"We study sources of investor disagreement using sentiment of investors from a social media investing platform, combined with information on the users¡¯ investment approaches (e.g., technical, fundamental). We examine how much of overall disagreement is driven by different information sets versus differential interpretation of information by studying disagreement within and across investment approaches. Overall disagreement is evenly split between both sources of disagreement, but within-group disagreement is more tightly related to trading volume than cross-group disagreement. Although both sources of disagreement are important, our findings suggest that information differences are more important for trading than differences across market approaches. "
jofi.12853.txt,2020/4/1,"We study innovation and product differentiation using a uniqueness measure based on textual analysis of prospectuses. We find that small and start-up families have higher start rates than larger families, and their products are more unique. Unique strategies attract more inflows in the first three years, and investors respond more to textbased uniqueness than other measures such as holdings or returns uniqueness. For established funds, word uniqueness has weak negative power for explaining returns, so investors in competitive equilibrium do not sacrifie much performance to get specialized products. Uniqueness attenuates the flow-performance relation, reducing the risk of investor outflows. "
jofi.12855.txt,2020/2/1,"The reliability of traditional asset pricing tests depends on: (i) the correlations between asset returns and factors; (ii) the time series sample size T compared to the number of assets N. For macro-risk factors, like consumption growth, (i) and (ii) are often such that traditional tests cannot be trusted. We extend the Gibbons-RossShanken statistic to test identifiation of risk premia and construct their 95% confidence sets. These sets are wide or unbounded when T and N are close, but show that average returns are not fully spanned by betas when T exceeds N considerably. Our findings indicate when meaningful empirical inference is feasible. "
jofi.12856.txt,2020/2/1,"We model the widespread failure of contracts to share risk using available indices. A borrower and lender can share risk by conditioning repayments on an index. The lender has private information about the ability of this index to measure the true state that the borrower would like to hedge. The lender is risk-averse and thus requires a premium to insure the borrower. The borrower, however, might be paying something for nothing if the index is a poor measure of the true state. We provide suffiient conditions for this effect to cause the borrower to choose a nonindexed contract instead. "
jofi.12857.txt,2020/4/1,"I examine the possibility of information-based trading in a multiperiod consumption setting. I develop a necessary and suffiient condition for trade to occur. Intertemporal substitution introduces a desire to correlate current consumption with future aggregate shocks. When agents have heterogeneous time-inseparable preferences, information differentially affects relative preferences for current and future consumption, making information-based trading mutually acceptable. The no-trade result continues to hold if there is no aggregate shock, or if agents have either homogeneous or time-separable preferences. "
jofi.12862.txt,2020/4/1,"We derive analytical relationships between shock responses and theory-implied causal effects (comparative statics) in dynamic settings with linear profits and linearquadratic stock accumulation costs. For permanent profitability shocks, responses can have incorrect signs, undershoot, or overshoot depending on the size and sign of realized changes. For profitability shocks that are i.i.d., uniformly distributed, binary, or unanticipated and temporary, there is attenuation bias, which exceeds 50% under plausible parameterizations. We derive a novel suffiient condition for profitability shock responses to equal causal effects: martingale profitability. We establish a battery of suffiient conditions for correct sign estimation, including stochastic monotonicity. Simple extrapolation/error correction formulas are presented. "
jofi.12863.txt,2020/4/1,"In this paper, we study the impact of noise traders¡¯ limited attention on financial markets. Specifially, we exploit episodes of sensational news (exogenous to the market) that distract noise traders. We find that on ¡¯ istraction days,¡¯ trading activity, liquidity, and volatility decrease, and prices reverse less among stocks owned predominantly by noise traders. These outcomes contrast sharply with those due to the inattention of informed speculators and market makers, and are consistent with noise traders mitigating adverse selection risk. We discuss the evolution of these outcomes over time and the role of technological changes. "
jofi.12864.txt,2020/4/1,"We examine the network of trading relationships between insurers and dealers in the over-the-counter (OTC) corporate bond market. Regulatory data show that one-third of insurers use a single dealer, whereas other insurers have large dealer networks. Execution prices are nonmonotone in network size, initially declining with more dealers but increasing once networks exceed 20 dealers. A model of decentralized trade in which insurers trade off the benefits of repeat business and faster execution quantitatively fits the distribution of insurers¡¯ network size and explains the price¡¯ etwork size relationship. Counterfactual analysis shows that regulations to unbundle trade and nontrade services can decrease welfare. "
jofi.12866.txt,2020/4/1,"We develop a framework to explore the effect of credit ratings on loan origination. We show that ratings endogenously shift the economy from a signaling equilibrium, in which banks ineffiiently retain loans to signal quality, toward an originate-todistribute equilibrium with zero retention and ineffiiently low lending standards. Ratings increase overall effiiency, provided that the reduction in costly retention more than compensates for the origination of some negative net present value loans. We study how banks¡¯ ability to screen loans affects these predictions and use the model to analyze commonly proposed policies such as mandatory ¡¯ kin in the game.¡¯ "
jofi.12867.txt,2020/4/1,"We provide evidence on the value of patents to startups by leveraging the quasirandom assignment of applications to examiners with different propensities to grant patents. Using unique data on all first-time applications filed at the U.S. Patent Offie since 2001, we find that startups that win the patent ¡¯ ottery¡¯ by drawing lenient examiners have, on average, 55% higher employment growth and 80% higher sales growth five years later. Patent winners also pursue more, and higher quality, follow-on innovation. Winning a first patent boosts a startup¡®s subsequent growth and innovation by facilitating access to funding from venture capitalists, banks, and public investors. "
jofi.12869.txt,2020/4/1,"Credit supply expansion can affect an economy by increasing productive capacity or by boosting household demand. In this study, we develop a test to determine if the household demand channel is present, and we implement the test using both a natural experiment in the United States in the 1980s and an international panel of 56 countries over the last several decades. Consistent with the importance of the household demand channel, we find that credit supply expansion boosts nontradable sector employment and the price of nontradable goods, with limited effects on tradable sector employment. Such credit expansions amplify the business cycle and lead to more severe recessions. "
jofi.12870.txt,2020/6/1,"This paper introduces a novel consumption-based variable, cyclical consumption, and examines its predictive properties for stock returns. Future expected stock returns are high (low) when aggregate consumption falls (rises) relative to its trend and marginal utility from current consumption is high (low). We show that the empirical evidence ties consumption decisions of agents to time variation in returns in a manner consistent with asset pricing models based on external habit formation. The predictive power of cyclical consumption is not confined to bad times and subsumes the predictability of many popular forecasting variables. "
jofi.12871.txt,2020/4/1,"In models of trading with heterogeneous beliefs following Harrison-Kreps, short selling is prohibited and agents face constant marginal costs-of-carry. The resale option guarantees that prices exceed buy-and-hold prices and the difference is identified as a bubble. We propose a model where risk-neutral agents face asymmetric increasing marginal costs on long and short positions. Here, agents also value an option to delay, and a Hamilton-Jacobi-Bellman equation quantifies the influence of costs on prices. An unexpected decrease in shorting costs may deflate a bubble, linking financial innovations that facilitated shorting of mortgage-backed securities to the collapse of prices. "
jofi.12876.txt,2020/6/1,"We decompose the returns of five well-known anomalies into cash flow and discount rate news. Common patterns emerge across the five factor portfolios and their meanvariance effiient (MVE) combination. Whereas discount rate news predominates in market returns, systematic cash flow news drives the returns of anomaly portfolios and their MVE combination with the market portfolio. Anomaly cash flow and discount rate shocks are largely uncorrelated with market cash flow and discount rate shocks and with business cycle fluctuations. These rich empirical patterns restrict the joint dynamics of firm cash flows and the pricing kernel, thereby informing models of stocks¡¯ expected returns. "
