¿ª½±ÈÕÆÚ,ÆÚºÅ,ºìÇòºÅÂë,À¶ÇòºÅÂë,ÏúÊÛ¶î(Ôª),
2023/7/18,2023082,04 18 19 24 27 30,16,"355,121,956",
2023/7/16,2023081,01 11 15 16 22 31,15,"387,109,286",
2023/7/13,2023080,01 02 04 09 25 31,8,"363,086,950",
2023/7/11,2023079,05 06 09 12 21 22,7,"352,893,610",
2023/7/9,2023078,06 08 14 19 30 31,8,"376,825,490",
2023/7/6,2023077,07 09 14 22 26 27,1,"351,174,612",
2023/7/4,2023076,03 04 15 18 19 22,9,"349,981,630",
2023/7/2,2023075,13 15 24 28 30 31,1,"382,962,350",
2023/6/29,2023074,02 08 09 18 19 21,3,"358,471,886",
2023/6/27,2023073,01 03 15 16 25 32,10,"360,075,550",
2023/6/25,2023072,02 06 10 24 25 33,9,"390,203,400",
2023/6/22,2023071,05 12 15 19 24 26,6,"335,357,710",
2023/6/20,2023070,03 05 25 31 32 33,4,"358,436,376",
2023/6/18,2023069,12 14 17 20 21 26,2,"396,617,204",
2023/6/15,2023068,11 12 15 18 29 33,2,"370,869,162",
2023/6/13,2023067,01 03 12 19 28 32,14,"364,444,632",
2023/6/11,2023066,02 07 08 10 26 31,6,"393,592,226",
2023/6/8,2023065,02 14 17 20 26 33,14,"364,732,942",
2023/6/6,2023064,01 07 11 12 16 18,4,"358,055,754",
2023/6/4,2023063,04 08 17 20 22 27,13,"390,718,820",
2023/6/1,2023062,11 19 23 24 26 33,15,"359,921,314",
2023/5/30,2023061,01 04 06 11 12 22,15,"365,432,766",
2023/5/28,2023060,09 11 17 19 30 31,11,"402,713,176",
2023/5/25,2023059,02 06 13 22 27 32,6,"374,631,364",
2023/5/23,2023058,10 17 22 26 30 33,11,"372,662,796",
2023/5/21,2023057,02 05 10 17 24 32,3,"396,913,794",
2023/5/18,2023056,08 14 15 18 23 33,8,"372,532,958",
2023/5/16,2023055,03 04 20 23 27 32,13,"370,786,668",
2023/5/14,2023054,05 06 09 10 15 26,12,"394,464,450",
2023/5/11,2023053,01 07 14 20 27 30,15,"364,282,626",
2023/5/9,2023052,03 04 05 08 12 17,6,"358,038,114",
2023/5/7,2023051,22 26 29 30 32 33,14,"388,332,454",
2023/5/4,2023050,02 07 09 14 22 23,5,"359,185,180",
2023/5/2,2023049,05 07 14 23 25 27,2,"328,857,030",
2023/4/30,2023048,02 03 10 24 28 30,8,"362,109,840",
2023/4/27,2023047,05 07 14 23 31 33,7,"373,486,114",
2023/4/25,2023046,06 08 17 25 26 28,3,"364,967,218",
2023/4/23,2023045,03 06 12 21 27 28,4,"398,638,950",
2023/4/20,2023044,02 08 15 22 24 26,16,"375,494,004",
2023/4/18,2023043,05 08 12 20 24 28,10,"370,609,676",
2023/4/13,2023041,01 06 12 13 15 24,6,"379,030,400",
2023/4/11,2023040,09 16 17 24 29 31,8,"372,777,348",
2023/4/9,2023039,02 03 09 13 19 28,9,"409,186,858",
2023/4/6,2023038,02 09 14 17 31 33,8,"368,841,578",
2023/4/4,2023037,08 23 25 26 29 31,12,"357,460,864",
2023/4/2,2023036,13 14 18 19 24 30,9,"402,105,258",
2023/3/30,2023035,01 04 09 10 20 33,6,"376,157,550",
2023/3/28,2023034,02 03 09 11 12 17,15,"371,464,196",
2023/3/26,2023033,08 09 13 23 24 26,5,"407,044,870",
2023/3/23,2023032,06 19 20 26 28 33,1,"378,271,328",
2023/3/21,2023031,07 14 27 29 31 33,5,"377,795,536",
2023/3/19,2023030,02 03 07 16 30 31,6,"407,635,670",
2023/3/16,2023029,03 07 12 24 28 33,8,"373,970,632",
2023/3/14,2023028,05 07 10 17 20 22,14,"378,131,048",
2023/3/12,2023027,08 10 22 27 32 33,8,"405,939,502",
2023/3/9,2023026,01 18 26 30 31 33,3,"382,398,740",
2023/3/7,2023025,04 16 20 21 31 32,14,"383,537,242",
2023/3/5,2023024,03 06 09 17 27 28,3,"424,465,912",
2023/3/2,2023023,05 08 10 15 24 25,9,"394,377,912",
2023/2/28,2023022,10 11 18 19 23 31,3,"393,991,274",
2023/2/26,2023021,02 05 06 19 21 27,4,"430,229,092",
2023/2/23,2023020,01 12 17 18 26 27,5,"394,774,502",
2023/2/21,2023019,06 12 26 28 29 32,15,"399,695,170",
2023/2/19,2023018,10 12 17 19 25 31,13,"428,078,014",
2023/2/16,2023017,05 11 18 20 26 28,12,"385,010,210",
2023/2/14,2023016,14 16 19 23 28 30,3,"363,237,418",
2023/2/12,2023015,02 03 14 21 29 32,8,"392,727,530",
2023/2/9,2023014,06 07 18 23 27 30,5,"354,854,954",
2023/2/7,2023013,06 10 14 22 23 33,13,"351,959,204",
2023/2/5,2023012,03 04 07 22 26 30,6,"377,681,908",
2023/2/2,2023011,06 07 16 17 21 22,4,"344,777,252",
2023/1/31,2023010,04 05 13 18 27 29,12,"335,698,884",
2023/1/29,2023009,03 04 19 23 30 32,6,"370,445,322",
2023/1/17,2023008,05 13 18 20 26 28,6,"367,864,780",
2023/1/15,2023007,05 06 09 22 25 31,3,"357,680,590",
2023/1/12,2023006,02 10 12 14 24 26,5,"341,187,596",
2023/1/10,2023005,02 06 08 13 14 19,16,"331,127,174",
2023/1/8,2023004,01 07 15 16 20 25,16,"362,777,504",
2023/1/5,2023003,05 08 18 25 30 32,6,"332,514,694",
2023/1/3,2023002,02 06 10 16 18 22,13,"317,440,920",
2023/1/3,2023002,02 06 10 16 18 22,13,"317,440,920",
2023/1/1,2023001,09 16 18 22 28 32,2,"349,018,800",
2022/12/29,2022150,01 07 11 12 22 28,5,"322,732,470",
2022/12/27,2022149,02 22 26 29 32 33,14,"305,443,962",
2022/12/25,2022148,02 15 16 17 21 31,14,"328,466,772",
2022/12/22,2022147,02 03 07 13 20 30,10,"308,727,648",
2022/12/20,2022146,06 07 13 18 26 31,6,"319,241,960",
2022/12/18,2022145,03 21 25 30 31 33,11,"366,333,090",
2022/12/15,2022144,07 20 22 23 31 32,5,"400,859,910",
2022/12/13,2022143,07 08 13 29 30 33,3,"397,641,696",
2022/12/11,2022142,01 03 13 16 21 27,3,"440,572,602",
2022/12/8,2022141,05 12 13 17 20 27,14,"415,110,854",
2022/12/6,2022140,08 09 18 19 20 27,15,"397,499,610",
2022/12/4,2022139,06 07 09 16 17 19,14,"421,220,444",
2022/12/1,2022138,02 14 19 21 25 28,11,"382,295,872",
2022/11/29,2022137,08 21 23 27 28 33,1,"380,398,430",
2022/11/27,2022136,08 10 14 15 18 22,8,"412,826,960",
2022/11/24,2022135,09 11 13 24 28 32,6,"402,652,460",
2022/11/22,2022134,01 05 14 17 24 31,14,"404,859,714",
2022/11/20,2022133,05 08 16 17 21 25,12,"457,083,562",
2022/11/15,2022131,03 05 10 13 19 29,6,"425,292,626",
2022/11/13,2022130,02 08 15 17 26 28,12,"446,023,212",
2022/11/10,2022129,10 12 14 22 24 27,7,"430,007,836",
2022/11/8,2022128,03 12 18 24 27 29,1,"420,999,886",
2022/11/6,2022127,03 04 09 10 29 33,13,"455,409,958",
2022/11/3,2022126,01 13 15 17 26 33,13,"436,137,344",
2022/11/1,2022125,02 03 07 12 20 31,16,"429,659,904",
2022/10/30,2022124,05 10 13 18 24 26,1,"383,396,494",
2022/10/27,2022123,10 13 16 20 21 25,5,"360,850,820",
2022/10/25,2022122,06 08 17 19 24 28,5,"350,001,646",
2022/10/23,2022121,12 17 22 27 30 31,2,"380,066,114",
2022/10/20,2022120,02 15 19 26 27 29,2,"355,500,194",
2022/10/18,2022119,02 05 15 18 26 27,4,"341,495,720",
2022/10/16,2022118,02 06 07 11 14 33,8,"374,309,728",
2022/10/13,2022117,04 13 17 18 28 29,6,"345,578,024",
2022/10/11,2022116,08 14 26 27 30 33,1,"337,975,208",
2022/10/9,2022115,06 07 18 20 27 29,9,"359,461,828",
2022/10/6,2022114,01 05 15 19 26 29,13,"347,069,064",
2022/9/29,2022113,13 14 20 24 27 29,2,"363,604,180",
